baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_187000 941.637920851315 7.9623813573263 0.801595819874451 9.93316227444075 2.98631533870657e-23 4.77900043653212e-19 RL28_SPOFR
evgLocus_518051 853.93298738197 10.2268894438179 1.36669491712686 7.4829351566752 7.26807479651501e-14 5.81555004843148e-10 RL28_SPOFR
evgLocus_542925 5457.36221022539 6.92784208497 1.1036275791569 6.27733686237019 3.44421336132962e-10 1.37794366053395e-06 RL28_SPOFR
evgLocus_583272 40.8842444418694 9.03967836735328 1.65480954786713 5.46266993625005 4.69026180014544e-08 8.33980662085861e-05 LARK_DROME
evgLocus_624299 24.4240576876297 8.32762611781981 1.6007623649429 5.20228754760663 1.96850333957713e-07 0.000312903619558075 HSDL2_XENLA
evgLocus_884956 276.845918312792 6.00509066218966 1.15798565402372 5.18580747639092 2.15080910775406e-07 0.000312903619558075 ACT5C_ANOGA
evgLocus_206585 75.3566466668733 9.94295524410472 2.01521382734126 4.93394552439271 8.05849242484203e-07 0.000984911519030873 GLYG_RAT
evgLocus_827886 15.0998870998028 7.62283383653901 1.55045853128613 4.9165028813868 8.81039017555143e-07 0.000984911519030873 TRNT1_MOUSE
evgLocus_86262 18.9861960130911 7.92083330593321 1.61496079787837 4.90465980124043 9.35894024591908e-07 0.000984911519030873 GMFB_PONAB
evgLocus_167506 47.3361495631134 6.38870020708966 1.43361982870489 4.45634196679681 8.3370007179125e-06 0.00635319154708351 FAS2_DROME
evgLocus_414131 123.383168506354 3.73289932057045 0.840346831631968 4.44209364521682 8.90877697864981e-06 0.00648032536315149 VCP_APIME
evgLocus_581989 20.1634689974968 6.25162002047142 1.41264865436411 4.42545993383297 9.62370182411128e-06 0.00666419739027424 NUCB1_MOUSE
evgLocus_672954 31.6372494189231 8.66752206998362 1.96217909946088 4.41729405453614 9.99442213126175e-06 0.00666419739027424 HSDL2_XENLA
evgLocus_565157 19.9184378020022 8.03915076387702 1.83711271198615 4.37597035360213 1.20893446188879e-05 0.0077386312774425 CCD43_DANRE
evgLocus_198025 44.2978938572129 9.15735664406916 2.14570041739501 4.2677703605924 1.97436415470251e-05 0.0108950860578291 MTNA_BOMMO
evgLocus_881802 15.4185704252619 7.67501149646372 1.80243653949754 4.25813132849784 2.06142840356304e-05 0.0109963462474065 ZC3HE_MOUSE
evgLocus_766214 66.4140096768169 4.13429599811739 0.987033843250401 4.18860612165308 2.80673055096145e-05 0.0139020740746168 .
evgLocus_182803 238.465666094621 3.29295686755756 0.792749225437993 4.15384432036273 3.26935648339695e-05 0.0153880917070004 VCP_APIME
evgLocus_83372 19.2068973779723 5.30634209499159 1.28355253376784 4.13410589390911 3.56339157046272e-05 0.0158402653616986 WIPI2_CHICK
evgLocus_363628 11109.9142756711 3.47618795836 0.847951286488907 4.09951375008083 4.14019073566102e-05 0.0174356506165219 RL22_PIG
evgLocus_476465 9.34643673444265 6.96614315764234 1.70371048056296 4.08880689361053 4.33597617385959e-05 0.0177919555667372 MKNK1_XENTR
evgLocus_184020 8.81888741364983 6.81271916344324 1.67477397017396 4.06784395074852 4.74501392663166e-05 0.0180796328256872 HTH_DROME
evgLocus_372830 34.9288175252835 8.81144048513329 2.16428672915394 4.07129072430152 4.67533546536369e-05 0.0180796328256872 IP3KH_CAEEL
evgLocus_757615 17.9218382431252 5.65718404406626 1.41107353854767 4.0091348108539 6.094161975086e-05 0.0226802032761166 CECR2_MOUSE
evgLocus_483552 9.29421232191961 6.86467823028248 1.72410927908836 3.98157953996527 6.84588037920279e-05 0.0248987781155414 MYSN_DROME
evgLocus_373982 7.83944189151142 6.71384359082651 1.69086818912514 3.97064870816468 7.16772004114637e-05 0.0254900052929923 ADPGK_CAEEL
evgLocus_199654 56.7433366786927 4.19620487993506 1.06493588703313 3.94033568689804 8.13676680280955e-05 0.0277048253500768 .
evgLocus_183499 40.5869117931736 4.82049657729192 1.23019136865502 3.91849325244593 8.91042233062864e-05 0.0297069767827188 MET25_MOUSE
evgLocus_672787 56.4384196512539 4.22693684209127 1.0987499908794 3.84704152644243 0.000119552712233131 0.038264041077336 TT39B_XENTR
evgLocus_95642 11.1820793861616 7.14048137509001 1.88713070044519 3.78377680645304 0.000154466354122203 0.0457763900929188 AT2B3_HUMAN
evgLocus_357098 49.4202128773 7.65560032405033 2.04626411437068 3.74125718683425 0.00018310202717612 0.0496561510618651 NPC1_HUMAN
evgLocus_676694 19.8228044657224 7.98121541011831 2.13356718365611 3.74078466863255 0.000183446639995679 0.0496561510618651 DNJB2_HUMAN
evgLocus_734725 12.2686512030127 7.28933485652903 1.95054709805467 3.73707195473459 0.000186175658546017 0.0496561510618651 RU17_DROME
