baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_455880 49493.5118352026 -9.98029717523723 0.641218294115342 -15.5645858311116 1.26687510822244e-54 1.64871126584068e-50 .
evgLocus_359118 1373.21445106423 -10.1541595129075 0.924263839545277 -10.9862131119434 4.45216552824915e-28 7.24256027307931e-25 .
evgLocus_497015 2242.81354908623 -8.30660336427044 0.764645972687631 -10.8633323929946 1.72342986517955e-27 2.49207958504963e-24 .
evgLocus_463960 3603.56445411902 -15.1054343006818 1.39461334646013 -10.8312704299174 2.4473595701852e-27 3.18499374463902e-24 .
evgLocus_462821 662.017337680366 -12.6608613264298 1.47846485421997 -8.56351863237877 1.09474168352487e-17 5.47960318053564e-15 .
evgLocus_583735 341.684297823155 -8.31542520033248 1.04967582437106 -7.9218983683033 2.33911473011952e-15 1.08718711063484e-12 MPP5_HUMAN
evgLocus_893889 3159.62841376514 -6.73582782689075 0.866245431607158 -7.77588842736368 7.49197188278262e-15 3.36208696836321e-12 RL40_DROME
evgLocus_456264 986.878355689901 -10.5132558401081 1.39468003084897 -7.53811312097761 4.76820167975901e-14 1.77295361886811e-11 .
evgLocus_720881 245.024650112832 -11.2266111158644 1.50509121635256 -7.45909018263425 8.71219639695828e-14 3.14945899750042e-11 .
evgLocus_33705 106.021120889049 -10.0181552363839 1.40588498326495 -7.12587114567385 1.0342443958743e-12 3.28284306534346e-10 .
evgLocus_313026 4011.94711869773 -5.61112899314095 0.794053989639981 -7.0664325931855 1.58967335615985e-12 4.92571644215818e-10 RL32_SPOFR
evgLocus_123477 223.204570315089 -7.69985268300425 1.11752502780911 -6.89009417363984 5.57554652961761e-12 1.64909460310099e-09 .
evgLocus_237603 257.272925058192 -11.2976892681697 1.64345848360671 -6.87433809911398 6.2278342848176e-12 1.80108967516925e-09 .
evgLocus_449914 202.664144266463 -7.49594244887804 1.15151242148465 -6.50964966510176 7.53262726949263e-11 2.04228356844119e-08 .
evgLocus_676634 4685.75899676171 -3.81724328119398 0.592088572823757 -6.44708149490031 1.14024483614215e-10 3.02839720358243e-08 .
evgLocus_340903 85.9560142465005 -9.71481556809008 1.53630912530745 -6.32347709719289 2.55742123876257e-10 6.40043846178001e-08 .
