baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_154683 10.8102111588523 -3.43745072934604 0.54819033546257 -6.27054237730309 3.59792608882469e-10 7.00287250561241e-07 .
evgLocus_660333 27.6741761236648 -3.82329599314779 0.609535899690603 -6.2724705716078 3.5536363616735e-10 7.00287250561241e-07 .
evgLocus_5517 26.3057648032061 -4.50711588868515 0.768882436069806 -5.86190512001234 4.57586479386896e-09 6.53128434911563e-06 RTBS_DROME
evgLocus_689513 33.0279827226292 -2.9300042318313 0.507277424712417 -5.77594051912002 7.65244057840994e-09 8.19193763918784e-06 .
evgLocus_340780 12202.4672565443 -10.6087613282314 1.94064917004853 -5.46660441875027 4.58738237962346e-08 3.85034857407796e-05 .
evgLocus_357575 93.0834468404658 -4.09479425521797 0.750891383721055 -5.45324442920911 4.94590102746218e-08 3.92191633325797e-05 .
evgLocus_423277 24.5329934374661 -4.31607142013706 0.796123550023321 -5.42135880795214 5.91477040228823e-08 4.52268693974968e-05 .
evgLocus_758849 28.1796274287144 -3.44921636814849 0.647204419482148 -5.32940793406253 9.85334536168714e-08 7.03200413979072e-05 RTJK_DROME
evgLocus_126986 74.5233062657286 -3.57478584131226 0.682682202171661 -5.23638353239708 1.63753494033639e-07 0.000109561322101882 .
evgLocus_224651 14.8530294299637 -4.27838891057011 0.830723318999968 -5.15019719889466 2.60212720287051e-07 0.000168822858828659 .
evgLocus_262316 21.4432645542279 -4.91079183926946 0.968434238412246 -5.07085731223293 3.96027620292582e-07 0.000229913072522754 .
evgLocus_357131 5288.69791977666 -7.32649304833866 1.45295012146629 -5.04249453583783 4.59501881122535e-07 0.000252254750636756 .
evgLocus_340903 37.9798026511803 -4.15732685560575 0.830209913391942 -5.00756108611182 5.51240597121724e-07 0.000271467481228975 .
evgLocus_657902 16.0557471364598 -2.72847611607412 0.549163792725031 -4.96841953569995 6.75007988466849e-07 0.000307487681554792 .
evgLocus_341111 41.8820113706517 -3.84572915984382 0.807897297984662 -4.76017084032484 1.93429157452067e-06 0.000735890147129056 .
evgLocus_362800 14.7766764712942 -4.3542760273944 0.916569463297075 -4.75062305886914 2.02790839236872e-06 0.000735890147129056 .
evgLocus_160981 30.2148251892218 -3.8723532993612 0.822172789597839 -4.70990204048877 2.47835880225664e-06 0.000869863310759257 .
evgLocus_720881 114.250816746195 -4.1974454214495 0.908667172192187 -4.61934308832027 3.84956870434296e-06 0.00116083473183074 .
evgLocus_123477 33.0285571372943 -3.27068678184019 0.71481004883232 -4.57560268939004 4.74850973764312e-06 0.00137385937139107 .
evgLocus_26993 713.411852419858 -2.10246149531372 0.471509081165361 -4.45900530720928 8.23408825164699e-06 0.00214990035936295 SAP18_DROME
evgLocus_125549 197.901114641597 -2.47445907515501 0.557575242736628 -4.43789265644246 9.0843900815918e-06 0.00233363192453919 RPAB4_HUMAN
evgLocus_43021 170.530256861006 -2.49428511113572 0.582691761209906 -4.28062532745712 1.86368896757143e-05 0.00395065156393112 .
evgLocus_161625 440.181427181213 -3.05857178205561 0.720661913191927 -4.2441146480306 2.19458137291433e-05 0.00457117817195829 RS2_DROME
evgLocus_25763 61.2003124005696 -1.23693241858608 0.29297811225441 -4.22192773742764 2.42221771940439e-05 0.00484669919368672 .
evgLocus_477043 18.618480049128 -3.71282572197867 0.881883300034147 -4.21011002457458 2.55246354314771e-05 0.00501360040906353 .
evgLocus_258049 31.4604533627042 -1.29457671536505 0.310525769727736 -4.16898319421319 3.05961545747931e-05 0.00559883478159248 LYRM4_XENLA
evgLocus_272453 25.2345642386317 -4.15015594503649 0.99658275528984 -4.16438667336711 3.1219064309022e-05 0.00566440819369629 .
evgLocus_12870 61.3994300871214 -5.04844652318325 1.21439967305072 -4.15715405332821 3.22236707125694e-05 0.00574923991630092 .
evgLocus_642628 9.18047285277808 -3.91901508959485 0.945373168468005 -4.14546892201911 3.39118995454128e-05 0.00585527233280071 .
evgLocus_758631 46.3868471743875 -2.50052566386273 0.60300980865543 -4.14674127679335 3.37240773236841e-05 0.00585527233280071 POLX_TOBAC
evgLocus_763271 15.930732547663 -3.85005671733101 0.931718948799131 -4.13220823971999 3.59294681895692e-05 0.00605708593652501 .
evgLocus_368276 2642.1324282283 -4.39085613681571 1.06603313851647 -4.11887396195409 3.80728308118021e-05 0.00626485599611 RLA2_DROME
