baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_542749 609.403061226407 27.3302965571824 2.9478169518645 9.27136827132226 1.83773082968798e-20 3.93458170636198e-16 .
evgLocus_168041 29.4215790074058 23.6717061024339 2.94818153290844 8.02925662419481 9.80650396751881e-16 1.04978624972289e-11 STUB_DROME
evgLocus_144238 9.38444606712028 22.2842797565568 2.94899763363338 7.55656074538825 4.13866661433271e-14 2.95362840709544e-10 PRS6B_MANSE
evgLocus_472231 16.6974699489449 21.9136522118917 2.94847418531733 7.43220080440799 1.06805491637263e-13 5.71676393988452e-10 .
evgLocus_689107 279.327672955996 10.1953340399298 1.39928182582704 7.28611910177844 3.19010984448044e-13 1.36600503540653e-09 .
evgLocus_243915 4.85342092286458 21.3705737262146 2.95011150402525 7.24398847198005 4.35678468150739e-13 1.55464600051789e-09 .
evgLocus_747079 16755.2039403305 10.3274410201108 1.52489098515155 6.77257661083518 1.2650877355218e-11 3.8693612025031e-08 .
evgLocus_512844 14373.2067104512 11.1627136578189 1.75408974194405 6.36382129767618 1.96795091920426e-10 5.2667286475204e-07 .
evgLocus_450646 11879.7017777393 9.20190539553847 1.46688739936595 6.27308230987322 3.53969657253793e-10 7.00287250561241e-07 .
evgLocus_447277 369.861861061858 10.2364974406861 1.69014890520562 6.05656543583701 1.39058588470606e-09 2.48103698262973e-06 .
evgLocus_168472 673.575347557976 5.84406249835179 0.973861976614461 6.00091454301165 1.96209241433107e-09 3.23141527621756e-06 NOB1_BOVIN
evgLocus_738537 231.121215046906 12.3027765441136 2.05911672266668 5.97478346355267 2.30395998928176e-09 3.52341309789447e-06 .
evgLocus_343766 3117.20836091924 5.60672418494716 0.958486886154268 5.84955753275143 4.92882380943840e-09 6.59538236000475e-06 .
evgLocus_226555 69.1364003050362 3.98634516836297 0.685167658564425 5.81805798702646 5.95352503213231e-09 7.49793946693839e-06 .
evgLocus_479805 50.8168448100827 10.2047282235921 1.76161127805491 5.79283769961989 6.920698070526e-09 8.19193763918784e-06 .
evgLocus_628212 2752.75083240984 11.3067926567407 1.95585413805017 5.78099994103482 7.42579166985507e-09 8.19193763918784e-06 .
evgLocus_687473 55438.250809042 2.91183618619427 0.506301250962411 5.75119295213919 8.86159058311825e-09 9.03460258974104e-06 COX1_CHOOC
evgLocus_385515 910.549832976305 2.78809624648296 0.488466450078108 5.70785618139616 1.14408025937652e-08 1.11339810696597e-05 COX1_CHOOC
evgLocus_145008 7558.90974662109 7.58576513488102 1.35705730869394 5.58986351297258 2.27248161791353e-08 2.11538397563168e-05 .
evgLocus_107612 67.2383724871353 2.31722270709925 0.417530761124381 5.54982512152908 2.85955494676872e-08 2.55096130876327e-05 VPP1_XENLA
evgLocus_674139 183.648697046243 5.831418519373 1.06739634945812 5.46321759703733 4.67580863736697e-08 3.85034857407796e-05 AK2E4_BOMMO
evgLocus_372707 855.191505244616 2.6835831626277 0.500429128184455 5.36256387065971 8.20489421257492e-08 6.05747534797341e-05 COX1_AEDAE
evgLocus_739106 191.376325107612 11.1319330722103 2.09463774576866 5.31449082052381 1.06955973418174e-07 7.38686255123582e-05 .
