"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "protein" "chr"
"evgLocus_224148" 44238.8322820543 -18.198982963782 1.60301210630305 -11.3529915914069 7.16678824928004e-30 5.83591567138874e-26 "." "chr_29"
"evgLocus_488418" 8884.24212722169 -10.0898620399261 0.884559237003586 -11.4066549958883 3.8733975704809e-30 5.83591567138874e-26 "." "chr_29"
"evgLocus_56011" 5722.7581244919 -10.0243456087389 0.965607326304323 -10.3813893449889 3.01357215193269e-25 1.2269759016594e-21 "RS23_SPOFR" "chr_11"
"evgLocus_776164" 3015.16865344436 -9.87956400778623 0.979144979968218 -10.0899909716199 6.11751447968708e-24 1.6604973469364e-20 "RS11_RAT" NA
"evgLocus_475610" 10353.9584960858 -16.1038414803292 1.60203122162641 -10.0521395981162 8.98941044052698e-24 2.09145054906318e-20 "." "chr_16"
"evgLocus_223667" 2950.23546120147 -10.8710427191335 1.08455183621144 -10.0235344740259 1.20128465756743e-23 2.44551524164289e-20 "RSSA_BOMMO" "chr_15"
"evgLocus_262259" 50319.1074072995 -16.3483988350959 1.66647056121271 -9.8101936005392 1.01773112708169e-22 1.65747691356524e-19 "." "chr_29"
"evgLocus_264200" 48658.9452748907 -19.2981368579203 1.96614482955076 -9.81521634005449 9.68300661635863e-23 1.65747691356524e-19 "." "chr_29"
"evgLocus_356471" 4731.52206427635 -8.96593642607269 0.918589369421246 -9.76054886387554 1.66252992165921e-22 2.46145111855835e-19 "ACSL5_RAT" "chr_05"
"evgLocus_686920" 16634.4419234159 -7.06219739451552 0.737686381299328 -9.57344146990551 1.03405071287082e-21 1.40337915915119e-18 "." "chr_15"
"evgLocus_167723" 2348.47483220883 -6.4997348257674 0.709027525335347 -9.16711212684336 4.85860312945221e-20 5.65194361187562e-17 "ACSL5_RAT" "chr_05"
"evgLocus_487939" 22877.8102772243 -8.5451841443321 0.941587063137555 -9.07529901256061 1.13365796622224e-19 1.23085024252636e-16 "RS3A_SPOFR" NA
"evgLocus_604545" 4879.51839425978 -14.052712744847 1.58260395008984 -8.87948797552868 6.71688253745316e-19 6.43477347088013e-16 "CUD2_SCHGR" "chr_04"
"evgLocus_485960" 3812.64265615338 -12.1494732545353 1.38222015247474 -8.7898250020322 1.49793109404857e-18 1.3552947665375e-15 "FAXC_DROME" "chr_Z"
"evgLocus_838503" 3627.28709700022 -6.68463210571341 0.761670785841272 -8.77627477641823 1.68978674680872e-18 1.44841405044878e-15 "." "chr_01"
"evgLocus_483513" 1293.50307510056 -6.45456435043988 0.740582546836927 -8.71552317565099 2.89418989418487e-18 2.35673883083474e-15 "PTN9_MOUSE" "chr_04"
"evgLocus_689293" 1260.80675228895 -10.9555611727184 1.30329151676265 -8.40607111441333 4.23974124966439e-17 3.00210547791453e-14 "." "chr_13"
"evgLocus_262473" 643.288612358892 -6.78463139482937 0.807831978341395 -8.39856749513591 4.51958156197155e-17 3.06691272159452e-14 "ST1B1_CHICK" "chr_20"
"evgLocus_222385" 1132.55353369024 -8.2074855206214 1.00432161584467 -8.17216854754102 3.02894962587309e-16 1.76176691453461e-13 "NRG_DROME" NA
"evgLocus_86271" 2244.72076483637 -14.8600468070648 1.81991933009054 -8.16522279936744 3.20842489990042e-16 1.76352133384254e-13 "PEBPH_CAEEL" "chr_23"
"evgLocus_704542" 521.900895982566 -6.65435382281009 0.821331227896112 -8.10191259847212 5.41018077246872e-16 2.72103227312956e-13 "." "chr_02"
"evgLocus_95198" 1944.07571980784 -6.9680899088717 0.860299455359555 -8.09960981081809 5.51357392934272e-16 2.72103227312956e-13 "VLDLR_RABIT" "chr_10"
"evgLocus_262575" 2465.24955394118 -13.2422895719698 1.64147476493136 -8.06731230651818 7.18625592019926e-16 3.44221658577545e-13 "GBLP_DROME" "chr_05"
"evgLocus_301167" 1467.7010424176 -7.18628801401749 0.898353435895114 -7.99939948674779 1.25027462478097e-15 5.58940587244983e-13 "." "chr_29"
"evgLocus_462821" 908.586569085065 -13.5552343616704 1.7194702485323 -7.88337825166841 3.1864662371432e-15 1.36565234573984e-12 "." NA
"evgLocus_160754" 5909.97342858936 -9.62264405829256 1.22213607587091 -7.87362737118726 3.44504007235046e-15 1.43861340046922e-12 "SCPDL_HUMAN" "chr_03"
"evgLocus_603196" 1225.60686290391 -8.83418020560744 1.12372974412281 -7.86148115399709 3.79617554188097e-15 1.54561287187684e-12 "OTOP_DROME" "chr_17"
"evgLocus_240713" 758.092247546431 -10.368534066319 1.32363246319135 -7.83339360030495 4.74874730147616e-15 1.84138329885335e-12 "." "chr_24"
"evgLocus_222354" 3194.51266695915 -11.8903283524249 1.52884923473177 -7.77730601703902 7.40852453548208e-15 2.68122734633025e-12 "." "chr_28"
"evgLocus_27841" 1532.73534204939 -13.3476411596961 1.7294307384879 -7.71793912450428 1.18225637687041e-14 4.18570159863292e-12 "EPHX4_HUMAN" "chr_17"
"evgLocus_492121" 3448.11129663159 -15.4793032891144 2.01913428883073 -7.66630697856079 1.77019230820071e-14 6.09991088735897e-12 "JUPIT_DROGR" "chr_09"
"evgLocus_821945" 3234.6389110195 -6.73792183814727 0.879128668600691 -7.66431818094616 1.79783693106491e-14 6.09991088735897e-12 "DPS1_HUMAN" NA
"evgLocus_15624" 4260.13056246201 -5.28599479730515 0.691575355423669 -7.64341117110351 2.11541087382306e-14 6.75521205707496e-12 "RS3A_SPOFR" NA
"evgLocus_24149" 683.775466654197 -13.1451121457874 1.72756335220432 -7.60904781235063 2.76122598254441e-14 8.33878535897789e-12 "." "chr_14"
"evgLocus_710159" 207.293186544677 -8.25511839411666 1.08760531266356 -7.5901784388123 3.19465242629411e-14 9.45965625720469e-12 "TBB1_MANSE" "chr_26"
"evgLocus_98027" 10687.6077286553 -7.75171773614915 1.02521458128981 -7.5610685583469 3.99771451500875e-14 1.16262104627558e-11 "RS3A_SPOFR" NA
"evgLocus_25229" 7630.52438941686 -10.1943074854449 1.35577750964326 -7.51915960615637 5.51294518680781e-14 1.547996988144e-11 "SCPDL_HUMAN" "chr_03"
"evgLocus_24257" 566.914519806583 -12.8747170606078 1.72678060505921 -7.45590784543606 8.92511141662e-14 2.46363329713684e-11 "HYOU1_DANRE" "chr_16"
"evgLocus_96421" 581.64241147346 -12.9117031485489 1.73542652532269 -7.44007479437832 1.0062830916865e-13 2.73138773853439e-11 "ANX10_DROME" NA
"evgLocus_224677" 1039.21112718632 -6.30767739431796 0.848571860658831 -7.43328607363988 1.0593245433355e-13 2.82822287094458e-11 "DPS1_HUMAN" NA
"evgLocus_25532" 7581.62212384471 -7.66309141019443 1.03504377286194 -7.40363993399591 1.32501394852358e-13 3.4805124460734e-11 "1433E_DROME" "chr_23"
"evgLocus_469483" 521.796503613541 -7.00996176403146 0.950166479189595 -7.37761425767232 1.611510595697e-13 4.16588278754306e-11 "ADRL_DROME" "chr_27"
"evgLocus_60" 749.106700128899 -6.64015834261495 0.906410175411384 -7.32577647818355 2.37519397980232e-13 5.95113987000933e-11 "VLDLR_RABIT" "chr_10"
"evgLocus_672598" 700.208947536571 -9.69605331734739 1.32455388354519 -7.320240752604 2.47526469693654e-13 6.10790315974372e-11 "HGNAT_MOUSE" "chr_17"
"evgLocus_362583" 639.67946041763 -13.0490658554647 1.7859998080012 -7.30630865524479 2.74581043761044e-13 6.67436847566023e-11 "PSA5_MOUSE" NA
"evgLocus_1148" 4594.16920076248 -5.20978651453978 0.71607753037039 -7.27545034382663 3.45266680934226e-13 8.14929444303595e-11 "CP301_DROME" "chr_27"
"evgLocus_108218" 2557.09059212701 -15.0479888987631 2.08231366048699 -7.22657166607831 4.95339283764804e-13 1.10508158567036e-10 "TBB1_MANSE" "chr_26"
"evgLocus_208977" 604.692471113424 -6.74008377357995 0.938679798535218 -7.18038652168467 6.95146076501099e-13 1.50948653358625e-10 "UBB_PONPY" "chr_04"
"evgLocus_537127" 250.134926224444 -6.98178101852938 0.973984814229989 -7.16826475785356 7.59543076763601e-13 1.62762086160158e-10 "LIPR1_HUMAN" "chr_13"
"evgLocus_28417" 915.446355355836 -9.15997921631114 1.28057753413714 -7.15300633669413 8.4897683793631e-13 1.7956411406014e-10 "RL32_SPOFR" "chr_11"
"evgLocus_642336" 867.065273933442 -9.66262798483467 1.35498461613483 -7.13117172680371 9.95180619239859e-13 2.07788609806928e-10 "." NA
"evgLocus_12325" 419.834898479506 -6.10711785980486 0.856993374389634 -7.12621362347692 1.03167558899645e-12 2.12681881549319e-10 "TBB1_MANSE" "chr_26"
"evgLocus_538345" 1532.1869096123 -13.3471086818709 1.88034591532955 -7.09821983979565 1.26374052830305e-12 2.53726716907538e-10 "TBB1_MANSE" "chr_26"
"evgLocus_34267" 553.740677388357 -8.39779030862129 1.18520885168251 -7.0854940854516 1.38549087560556e-12 2.71856679519424e-10 "YELL_DROMD" "chr_13"
"evgLocus_25164" 485.072191409949 -11.6876846125042 1.65376623731945 -7.06731359532923 1.57961716519638e-12 3.02654648851627e-10 "CTNS_DROME" "chr_13"
"evgLocus_53311" 174.295694565494 -6.82656103284506 0.970828641633297 -7.03168483097103 2.04054320457058e-12 3.77639620791324e-10 "." "chr_10"
"evgLocus_686123" 163.711573232515 -6.76489296403489 0.964381529298632 -7.01474754390496 2.30364527098977e-12 4.21541200936398e-10 "ANK3_HUMAN" "chr_28"
"evgLocus_447502" 376.709754586836 -12.2852043507836 1.75630896097569 -6.99489931655235 2.65449488897708e-12 4.8034559735423e-10 "GPM6B_MOUSE" "chr_11"
"evgLocus_584227" 359.135234686138 -12.2162703909874 1.7477345679894 -6.98977442841394 2.75328558230888e-12 4.9274735157673e-10 "PSB7_RAT" "chr_01"
