"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "protein" "chr"
"evgLocus_281669" 5107.39884292697 10.9568612305511 1.04337133304911 10.5014014507483 8.51070835975464e-26 4.62017987823213e-22 "RL35_RAT" "chr_11"
"evgLocus_325317" 10241.6210299687 12.6646241873785 1.23234432871448 10.2768551713056 8.96036909301076e-25 2.91857142097546e-21 "RL36_DROME" "chr_04"
"evgLocus_283999" 20032.3340941045 8.07190972314264 0.853056769382334 9.46233593455591 3.01139326096075e-21 3.77258081907745e-18 "RS8_SPOFR" "chr_11"
"evgLocus_155757" 3055.29243867002 11.3910095109985 1.2781162539061 8.91234226635177 4.99656110377167e-19 5.08587463350159e-16 "RS26_ANOGA" "chr_05"
"evgLocus_304302" 11043.6443791976 12.7841821927984 1.48992151395986 8.58044002520711 9.45108980877507e-18 7.3295451726529e-15 "." NA
"evgLocus_665427" 3590.81346163213 15.1093501497281 1.77525201226571 8.51110154802438 1.72288662766768e-17 1.27540598264526e-14 "RS21_PLUXY" NA
"evgLocus_644035" 637.634130210859 8.14902878554887 0.973238195779606 8.37310826978091 5.61180018082926e-17 3.65575110979941e-14 "." "chr_20"
"evgLocus_807445" 1776.18303691088 10.9102188289228 1.32393430517856 8.24075544099696 1.71126696116865e-16 1.07191129729203e-13 "RS11_RAT" NA
"evgLocus_809306" 11549.8850138859 8.36916048830519 1.02039724613744 8.20186502853217 2.36685953535549e-16 1.42765460714073e-13 "." "chr_13"
"evgLocus_226555" 447.919704069814 8.23710005204796 1.00902084200287 8.16345878019487 3.25565083473568e-16 1.76352133384254e-13 "." "chr_11"
"evgLocus_356824" 11778.4173323666 12.0757950609409 1.47991978605366 8.15976323496698 3.35681943688559e-16 1.76352133384254e-13 "." "chr_29"
"evgLocus_751501" 1224.90376127002 8.48767723282962 1.05354792987972 8.05628011038718 7.86512853177131e-16 3.65975666481222e-13 "." "chr_Z"
"evgLocus_726568" 3765.03600162263 7.38536990135145 0.923461429081266 7.99748605493898 1.26985151222304e-15 5.58940587244983e-13 "NU3M_AEDAE" NA
"evgLocus_720607" 911.608602373166 25.8047294968268 3.28847883680542 7.84701096689881 4.26070005998834e-15 1.6924331994383e-12 "." "chr_06"
"evgLocus_471489" 3027.09454007697 6.18078092737656 0.791441670964973 7.80952172993442 5.74054009588441e-15 2.17419618608311e-12 "." "chr_03"
"evgLocus_426117" 944.199773008331 6.95461864580065 0.892766663040671 7.78996229777884 6.70291929199854e-15 2.48099417248837e-12 "." "chr_15"
"evgLocus_286611" 1084.12508825006 13.3816383121807 1.74847155424655 7.65333486820556 1.95833067617444e-14 6.50885171268917e-12 "." "chr_18"
"evgLocus_379183" 33006.3521464887 8.27686587739378 1.08262725815479 7.64516671370416 2.08674783088278e-14 6.75521205707496e-12 "." NA
"evgLocus_426364" 1089.50289887036 13.3887755933783 1.75962614226896 7.60887513077864 2.76491716434242e-14 8.33878535897789e-12 "." "chr_18"
"evgLocus_663395" 2601.02178484113 14.6441245457196 1.92415584656319 7.61067486912562 2.72668370060153e-14 8.33878535897789e-12 "RL40_DROME" "chr_19"
"evgLocus_322343" 793.217632243257 5.86540078180177 0.776970954447142 7.5490605514016 4.38409025120993e-14 1.25261919002114e-11 "." "chr_28"
"evgLocus_771108" 18633.3737023693 8.46249894287646 1.15478254742132 7.3282185999205 2.33232070334284e-13 5.93502733978774e-11 "." "chr_01"
"evgLocus_297674" 1371.10780034736 11.0731756859757 1.51637441478517 7.30240208355429 2.82675015514935e-13 6.7700666215827e-11 "PPIE_HUMAN" "chr_11"
"evgLocus_239168" 441.252504716712 7.62221504313086 1.04855828166422 7.26923355279141 3.61532866931436e-13 8.29285108569769e-11 "." "chr_07"
"evgLocus_458330" 331.512805230571 7.20379117326168 0.990776855390699 7.27085128610615 3.57229046897344e-13 8.29285108569769e-11 "." NA
"evgLocus_279735" 658.543209131647 12.662364972666 1.74252256808873 7.26668635721295 3.68412847312146e-13 8.33329393239668e-11 "TRET1_BOMMO" "chr_10"
"evgLocus_360879" 278.484324869402 6.94873538614403 0.964076978003399 7.20765617755425 5.69231363540078e-13 1.25277053873158e-10 "." "chr_11"
"evgLocus_778427" 943.752070449807 13.1814599060106 1.8518146576138 7.11813131611986 1.09400118259499e-12 2.22711290746775e-10 "." NA
"evgLocus_73408" 906.360897569556 8.31480751649453 1.17164071378013 7.09672122067867 1.27751386383508e-12 2.53726716907538e-10 "." "chr_28"
"evgLocus_833278" 881.48699948353 13.0830635070854 1.84693414476829 7.08366540525827 1.40390643698044e-12 2.72190717055516e-10 "RS8_SPOFR" "chr_11"
"evgLocus_428052" 202.504380055679 6.28414942880808 0.891876231963976 7.04598822526072 1.84149827342488e-12 3.48728382337181e-10 "." "chr_24"
"evgLocus_224323" 1040.28180903097 8.16412185910011 1.16093206075706 7.03238555904485 2.03031820271308e-12 3.77639620791324e-10 "." NA
"evgLocus_477183" 322.510605980009 5.51153674072759 0.794193497195331 6.9397908194809 3.92680952244608e-12 6.66166873776634e-10 "RABP1_HUMAN" "chr_20"
"evgLocus_35543" 1303.32804656382 6.45167484871479 0.932565444426227 6.91820063382712 4.57416177869161e-12 7.44982344918347e-10 "." "chr_11"
"evgLocus_514892" 217.100319662033 5.90861841470265 0.853958948491698 6.91908952431346 4.54555552934265e-12 7.44982344918347e-10 "FBRL_DROME" "chr_22"
"evgLocus_715952" 786.3301187157 6.07666796782907 0.886764614379596 6.85262793450601 7.25054922558663e-12 1.13540812199908e-09 "." "chr_11"
"evgLocus_301699" 9050.52090514783 11.5870342161904 1.69156740876611 6.84988026852706 7.39118236464858e-12 1.14640758086349e-09 "RS12_DROME" "chr_26"
"evgLocus_828872" 1158.99936660017 9.61801553481988 1.40590122750063 6.84117443436514 7.85465420186089e-12 1.20680092765572e-09 "." "chr_20"
"evgLocus_651222" 568.550233640767 9.27411002743123 1.36588641737401 6.7898105651136 1.12280878278673e-11 1.64739313842024e-09 "NDUA1_MOUSE" NA
"evgLocus_245898" 447.028156704051 12.103428013429 1.78746782015243 6.77127044021238 1.27656391352652e-11 1.79225171514594e-09 "." "chr_07"
"evgLocus_342315" 903.041024707073 6.92246463012813 1.02203349542663 6.77322676908791 1.25941309436166e-11 1.79225171514594e-09 "." "chr_11"
"evgLocus_52556" 175.136561151009 6.20620251442298 0.916528899120537 6.77142043243612 1.27524089832491e-11 1.79225171514594e-09 "." "chr_18"
"evgLocus_280005" 438.612213818616 7.3176727262896 1.08405305813062 6.75029019235316 1.47549742579101e-11 2.03643653190105e-09 "." "chr_29"
"evgLocus_480269" 264.888516648244 7.72939803659292 1.14978286439087 6.72248498040349 1.7865115862919e-11 2.44496871381092e-09 "." "chr_Z"
"evgLocus_351676" 447.032481490559 10.7186317777408 1.59716909749072 6.71101876099449 1.93270255111769e-11 2.62299947895855e-09 "." "chr_26"
"evgLocus_219811" 214.809994444942 7.60188934347579 1.1420247565732 6.6565013584174 2.80422542874212e-11 3.77434837458629e-09 "." "chr_22"
"evgLocus_230182" 298.156212607772 11.5190391762152 1.74530593713866 6.60001145420962 4.11126016433947e-11 5.19038628189399e-09 "." NA
"evgLocus_386393" 2128.66252537751 9.50098529610612 1.44076493573792 6.59440347306894 4.26969098245982e-11 5.34893748771852e-09 "DDX18_DROME" "chr_03"
"evgLocus_282288" 584.908107713171 8.77303622137403 1.331193107638 6.5903558026532 4.38773770737048e-11 5.45486231314776e-09 "SRPRB_MOUSE" "chr_12"
"evgLocus_264435" 291.74861330863 11.4877727922424 1.75096119966216 6.56083800969372 5.35062220264522e-11 6.36778843465749e-09 "." "chr_19"
"evgLocus_303527" 4058.24466255641 5.73246110882839 0.873489966339996 6.56270973878262 5.28386412714266e-11 6.36778843465749e-09 "RS21_PLUXY" NA
"evgLocus_779564" 1523.37264644708 6.14953589766163 0.93733357333128 6.56066961925433 5.35666839953381e-11 6.36778843465749e-09 "." "chr_13"
"evgLocus_94119" 427.06256515067 12.037423412088 1.83723139958382 6.55193647072155 5.67957051859605e-11 6.65449535725578e-09 "." "chr_04"
"evgLocus_281274" 351.99761206514 11.758536107287 1.79682726860563 6.54405479743849 5.98728423962507e-11 6.88776841016333e-09 "." NA
"evgLocus_477352" 1021.86807286312 6.24160840017721 0.957635857311135 6.51772628658924 7.13810902050513e-11 7.80350123039231e-09 "MGN_DROME" "chr_11"
"evgLocus_764481" 1050.76700884164 13.336475062616 2.04828977783013 6.51102944855006 7.46375084525379e-11 8.10364308438688e-09 "." "chr_05"
"evgLocus_152946" 2395.25244720923 14.5252265990822 2.26657391286893 6.40845044435229 1.47006044837438e-10 1.48856133660968e-08 "GBLP_DROME" "chr_05"
"evgLocus_429649" 1299.13991621881 13.642541864314 2.13210929964554 6.39861280403497 1.56794885648158e-10 1.56660215194227e-08 "." "chr_07"
"evgLocus_448811" 209.834259522711 11.0124938267519 1.72519148288179 6.38334581176835 1.73260039861148e-10 1.71012909647191e-08 "." "chr_26"
"evgLocus_264814" 284.802844136976 7.07115991814365 1.11193500906363 6.35932843242189 2.0263772134075e-10 1.97614247290746e-08 "." "chr_22"
"evgLocus_237809" 692.44807068865 7.26477001729559 1.1433206803313 6.35409657349191 2.09655095924998e-10 2.03240648347293e-08 "." "chr_18"
"evgLocus_137330" 653.830153175644 12.6520584104725 1.99163090586421 6.3526120091928 2.1168917678596e-10 2.0399822089563e-08 "TBB4_CAEEL" "chr_26"
"evgLocus_144482" 185.738012222785 7.3890604541034 1.16334321385102 6.35157395180339 2.13122914336438e-10 2.04171751934307e-08 "." "chr_16"
"evgLocus_762455" 882.150673725615 7.05013410901072 1.11295823995263 6.33458997465242 2.37973267811352e-10 2.22737508021591e-08 "." "chr_09"
"evgLocus_423143" 201.339422108554 6.09714641428695 0.963268663843739 6.3296426460687 2.45729631457007e-10 2.27383680563001e-08 "." "chr_14"
"evgLocus_472081" 384.372179685857 10.5051692693226 1.66270966013843 6.31810202416699 2.64795187296827e-10 2.43641492673228e-08 "." "chr_Z"
"evgLocus_423647" 1807.33520084043 5.34290139478394 0.850491703725132 6.28213229051168 3.33960471358672e-10 2.97206570303133e-08 "SUMO3_XENTR" "chr_18"
"evgLocus_330704" 207.087124838177 8.72213178819582 1.39640102655634 6.24615108577042 4.20690262950261e-10 3.58710032586803e-08 "." "chr_13"
"evgLocus_607316" 2566.90040691979 4.87619582712774 0.781741420619884 6.23760708913332 4.44314934327524e-10 3.73560517255529e-08 "NU1M_DROBF" "chr_06"
"evgLocus_323087" 182.073804187276 10.8078591445601 1.73806978332015 6.21831139824223 5.02533497027968e-10 4.13346491545328e-08 "COPZ1_BOVIN" "chr_24"
"evgLocus_606185" 218.128388818892 5.78290364516676 0.930216230948482 6.21673053293244 5.07620390316811e-10 4.15432446065306e-08 "." "chr_03"
"evgLocus_311342" 14524.5737303785 5.04043128240762 0.812133879076429 6.20640440236243 5.42105715808259e-10 4.41436684382665e-08 "RL7A_DROME" "chr_11"
"evgLocus_146338" 731.319177621062 5.81031519844917 0.936387887600269 6.2050302822045 5.46863714850011e-10 4.43095644778472e-08 "." "chr_17"
"evgLocus_144883" 188.915474015168 5.3746922989273 0.867771077514347 6.19367531160709 5.87772449724176e-10 4.7388426317861e-08 "." "chr_08"
"evgLocus_311687" 8755.97280350402 5.75007530256145 0.93436925847314 6.15396455996175 7.55695782368076e-10 6.00354220080316e-08 "RL23A_RAT" "chr_20"
"evgLocus_313929" 190.422345359763 10.8726376800523 1.76738893735351 6.15180815623586 7.66045075803084e-10 6.05621849734419e-08 "CU19_LOCMI" "chr_13"
"evgLocus_406502" 196.154543699223 10.9154480847379 1.77999100026156 6.13230521004542 8.66147292617979e-10 6.68021025922446e-08 "RL4_DROME" NA
"evgLocus_824560" 1378.37127328926 5.21039783383961 0.851351446731004 6.12014915091336 9.34878090948455e-10 7.08159283217978e-08 "." "chr_03"
"evgLocus_264676" 224.291398166777 8.84849805178942 1.44744449187765 6.11318644786923 9.76611555771426e-10 7.32953723377578e-08 "." "chr_14"
"evgLocus_625470" 575.514757209556 7.36887776904018 1.20614736105723 6.10943406001492 9.99850551025306e-10 7.46952572201749e-08 "." "chr_19"
"evgLocus_312086" 1845.44037671547 9.51754396496823 1.55868629519047 6.10613180749448 1.02074721681754e-09 7.56747521360371e-08 "." "chr_15"
"evgLocus_779500" 298.887514541995 7.0083264066694 1.14867035260424 6.10125123433394 1.05241335898895e-09 7.68592106031123e-08 "." "chr_05"
"evgLocus_606666" 332.738773102859 6.50883367371614 1.06917202143717 6.08773288414993 1.14520726578984e-09 8.32627032618452e-08 "." "chr_Z"
"evgLocus_663091" 753.6907389006 12.8570470731338 2.11545606397556 6.07767152061371 1.21940220749846e-09 8.82630415614215e-08 "RL24_PLUXY" NA
"evgLocus_258921" 4641.57765887935 10.1390455569663 1.67203160243202 6.06390784852316 1.32853292881651e-09 9.44824771995878e-08 "." "chr_11"
"evgLocus_280277" 134.222088472761 10.3677443715893 1.71279070210372 6.05312976001988 1.42058344206793e-09 9.89356037917427e-08 "ACADM_DROME" "chr_Z"
"evgLocus_795941" 2338.14704204089 14.4903892072836 2.39496436041208 6.05035692672705 1.44525267400077e-09 1.00159085313943e-07 "ENTK_BOVIN" "chr_10"
"evgLocus_377526" 383.9790793263 9.1107434162998 1.5089942219534 6.03762644266849 1.56397603487752e-09 1.06572860686256e-07 "." "chr_10"
"evgLocus_462897" 343.880684894717 7.79273326964226 1.29059759354836 6.03808135750274 1.55957433907811e-09 1.06572860686256e-07 "BI1_DROME" "chr_20"
"evgLocus_761654" 185.236524678629 10.8323421418462 1.79742073476174 6.02660352823964 1.674410720344e-09 1.12683690047613e-07 "MTH1_DROME" "chr_20"
"evgLocus_485493" 279.467195954638 8.63753694544239 1.43396778542464 6.02352230868601 1.70661574033153e-09 1.13909606340325e-07 "." NA
"evgLocus_459236" 163.585192863012 7.69898922376729 1.27893532824903 6.01984248437945 1.74586882159306e-09 1.15114249507954e-07 "." "chr_11"
"evgLocus_285773" 1024.87916898434 5.49670666490725 0.913945935568368 6.01425801132202 1.80712492341314e-09 1.18672727833494e-07 "RL36_DROME" "chr_04"
"evgLocus_129399" 433.143366888813 10.5544622265867 1.75532953607017 6.01280956635413 1.82335187906157e-09 1.1925746466826e-07 "." "chr_09"
"evgLocus_607507" 1417.67112172756 6.80515224086366 1.13570745410368 5.99199399129979 2.07283586771687e-09 1.34494840404928e-07 "." "chr_Z"
"evgLocus_123896" 223.293740260558 5.09844995720211 0.852042859235635 5.98379518346755 2.17997411894464e-09 1.40885152782271e-07 "." "chr_Z"
"evgLocus_832299" 552.678305436314 4.98463355429981 0.833305116928193 5.98176280577111 2.20735553699418e-09 1.42090878559238e-07 "." "chr_15"
"evgLocus_708144" 23834.9801099351 4.47089495276375 0.747576673153637 5.98051693333792 2.22430600929474e-09 1.42618297903048e-07 "." "chr_27"
"evgLocus_448043" 369.698933474949 6.40948574318701 1.0744423713686 5.96540672071856 2.44025423811838e-09 1.55850904007827e-07 "." "chr_07"
"evgLocus_522275" 743.569239071346 5.85714191360068 0.982233857208737 5.96308289580367 2.47522767038549e-09 1.56278393803578e-07 "." "chr_17"
"evgLocus_148555" 162.972196222886 8.22651449096321 1.38418446798402 5.94322121165295 2.79474875561642e-09 1.73061894425737e-07 "." "chr_16"
"evgLocus_228334" 213.120560763402 8.6073845392835 1.45059553181023 5.93369023310183 2.96200438950907e-09 1.79327894005742e-07 "." "chr_13"
"evgLocus_427488" 180.645168058041 6.47845189215034 1.0957137514457 5.91254046378679 3.36871053261999e-09 1.98778332370468e-07 "RBX2_HUMAN" "chr_10"
"evgLocus_121412" 521.568991972935 5.98211092130261 1.0136421689994 5.90160029274209 3.59992476836774e-09 2.10893434451931e-07 "." "chr_15"
