baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_187000 4453.41321198127 -9.97908542810751 0.805619943148143 -12.3868401136049 3.07939680466587e-35 5.35815044011861e-31 RL28_SPOFR
evgLocus_518051 1562.75425664483 -9.64518737740879 0.851332302845024 -11.329521204794 9.37156176300776e-30 8.15325873381675e-26 RL28_SPOFR
evgLocus_146748 1436.9054342455 -28.1776235938978 2.80933100880096 -10.030011951466 1.12502985382032e-23 6.52517315215785e-20 RL24_PLUXY
evgLocus_805246 354.039358716324 -26.2678273360752 2.80919975256803 -9.35064418685872 8.71155074806854e-21 3.78952457540981e-17 RS23_SPOFR
evgLocus_447503 964.723887228992 -7.35879240242811 0.80810736421529 -9.1062063387751 8.53129879521107e-20 2.47407665061121e-16 NP1L1_BOVIN
evgLocus_33705 219.679568208413 -11.5293255261493 1.64721230282885 -6.99929541950927 2.57252917400936e-12 5.60830300528941e-09 .
evgLocus_44889 1149.54098931219 -7.97252564085884 1.15957456330936 -6.87538852017044 6.18211362744584e-12 1.19520863463953e-08 RS16_SPOFR
evgLocus_462821 319.994565002199 -10.5685133463085 1.57819189891186 -6.69659586619052 2.1333052055773e-11 3.71195105770451e-08 .
evgLocus_357575 156.504436018585 -10.0336474661519 1.50851077639095 -6.65135948856592 2.90398012145084e-11 4.5935685557495e-08 .
evgLocus_237603 171.74775125491 -11.1742609515388 1.82928149971072 -6.10855188406261 1.00539176909826e-09 1.45781806519247e-06 .
evgLocus_25372 142.449327267926 -10.9038619523701 1.82197003159494 -5.98465494123685 2.16849079185583e-09 2.69512426987797e-06 CBPB_ASTAS
evgLocus_12870 143.35712174579 -10.9136293712906 1.84979232198526 -5.89992143527645 3.63674702827055e-09 3.95496239324422e-06 .
evgLocus_542925 9260.1590201465 -5.32874258589932 0.908187231632393 -5.86744935438185 4.42550121179497e-09 4.5296306520725e-06 RL28_SPOFR
evgLocus_345381 342.261575779533 -11.2794043141205 1.92922462623312 -5.8465998001197 5.0172260675469e-09 4.84998519862867e-06 .
evgLocus_720881 88.5295128282696 -8.69539220928588 1.48966649950537 -5.83714020028853 5.3104408914621e-09 4.86324586902319e-06 .
evgLocus_456794 81.5733663008809 -10.1004250781982 1.74122251012225 -5.80076642673833 6.60124981388193e-09 5.74308733807728e-06 .
evgLocus_272453 57.3658661995821 -9.59282307169331 1.70012515386322 -5.64242170636401 1.67674791764917e-08 1.38930541748074e-05 .
evgLocus_225808 79.8336291878886 -9.04603271062802 1.61694339261575 -5.59452653193637 2.21224639268209e-08 1.60387863469451e-05 .
evgLocus_476842 46.484489966449 -9.28958185641773 1.65879561060335 -5.600196791598 2.14108601647942e-08 1.60387863469451e-05 .
evgLocus_17231 24772.4844064375 -4.64264275981126 0.840877519381093 -5.52118786958219 3.36715524593373e-08 2.34354005116987e-05 RS16_SPOFR
evgLocus_271036 136.832278537093 -5.44372935832377 0.989378808490133 -5.50216894844485 3.75147197135493e-08 2.51060047313753e-05 GAGXE_DROME
evgLocus_368026 42.1751860509186 -9.14929625270309 1.69181087012502 -5.40798999123759 6.37359854535466e-08 3.8241591272128e-05 .
evgLocus_663091 7655.52816231159 -14.1425709741883 2.6654065042384 -5.305971510049 1.12074462775336e-07 5.73557544791424e-05 RL24_PLUXY
evgLocus_804631 40.4996146828611 -9.09085929661097 1.73396151225317 -5.24282645973959 1.58135258259497e-07 7.64320414920904e-05 .
evgLocus_224651 43.2624440156914 -7.65525158204539 1.46665149882735 -5.21954369403097 1.79364496492586e-07 8.29656690517067e-05 .
evgLocus_763271 34.4319444475223 -8.85652517657684 1.697410484392 -5.21766847678519 1.81189392181888e-07 8.29656690517067e-05 .
evgLocus_398498 119.517132075048 -9.75944967682546 1.87437843168925 -5.20676588666779 1.92160280115969e-07 8.41329443962327e-05 SEPIA_DROME
evgLocus_871 50.9096087698348 -9.42055528630502 1.83592230891418 -5.13123852821234 2.8784186760619e-07 0.000122157280398725 .
evgLocus_340545 43.7567036121188 -7.6795646848297 1.5076161908451 -5.09384598776755 3.50871832017771e-07 0.000145361187550219 .
evgLocus_237366 27.5891435900812 -5.79341444958685 1.18950033291738 -4.87046055327943 1.11338428043362e-06 0.000395365030194796 RTBS_DROME
evgLocus_477043 47.4116516468464 -7.81571808330166 1.60385768505729 -4.87307456024222 1.09874731228766e-06 0.000395365030194796 .
evgLocus_758174 14.3701920959179 -7.59634615070163 1.57640675923155 -4.81877288727475 1.44443862650459e-06 0.000483331386561151 LATS1_MOUSE
evgLocus_160277 28.2358941336928 -8.56856170129288 1.79477762334775 -4.77416343385772 1.80455794594527e-06 0.000570139327696733 DLDH_MANSE
evgLocus_25581 15.2912699825389 -7.68671946211327 1.61033591820572 -4.77336397655343 1.81173929802917e-06 0.000570139327696733 MFAP1_HUMAN
evgLocus_245510 47.4876588747781 -7.55393035681852 1.58915589213246 -4.75342311866083 2.00001177866916e-06 0.000600130087630814 .
evgLocus_295651 1409.50717539527 -2.86532988447647 0.602798342281909 -4.75338049807783 2.00043362543605e-06 0.000600130087630814 CALR_BOMMO
evgLocus_341111 76.7226257369591 -6.01518985710998 1.29063934887395 -4.66062797663659 3.15246074844005e-06 0.000914213617047615 .
evgLocus_891266 114.37780140979 -8.62173756997446 1.85587459342537 -4.64564664041303 3.39012859407495e-06 0.000967020287490231 COPZ1_BOVIN
evgLocus_262316 19.2834934259047 -8.02151341129775 1.73475733973302 -4.62399739005126 3.76414602961133e-06 0.0010563893696006 .
evgLocus_456264 36.8036011162227 -7.90523959110142 1.72935996847229 -4.57119381460233 4.84953484329031e-06 0.00131846728551955 .
evgLocus_160981 75.6713743424034 -7.06774504748635 1.55062452765936 -4.5579990006704 5.16432831515723e-06 0.00138245096436516 .
evgLocus_320819 255.201402959814 -11.7453469598352 2.62509725845606 -4.47425211466001 7.66792250867671e-06 0.00202154320683295 .
evgLocus_880430 12.5870884806133 -7.40229446821914 1.66561432440852 -4.44418276172534 8.82265838697568e-06 0.00225756258725554 PSME4_XENLA
evgLocus_2271 70.0195945283098 -3.66505147125637 0.825723457383452 -4.43859434836715 9.05482907728828e-06 0.00228339168035965 GALM_BOVIN
evgLocus_36292 20.9522320509202 -6.13436710940325 1.38393646367248 -4.43254966570127 9.31252417852148e-06 0.00231482743866105 .
evgLocus_127090 14.1432153055589 -7.57456763982001 1.72960211431992 -4.37937001643776 1.1902288983348e-05 0.00279959675866509 .
evgLocus_265817 9041.84362325486 -4.56335438929995 1.04202921485246 -4.37929601613527 1.19063310425987e-05 0.00279959675866509 RL35_RAT
evgLocus_35150 228.485202832126 -11.5856301682618 2.65973461431979 -4.3559346507301 1.32500306115913e-05 0.00303355964002222 .
evgLocus_409414 306.403254553902 -10.5981992533013 2.43169180170834 -4.35836451225265 1.31038004746484e-05 0.00303355964002222 RL37_SPOFR
evgLocus_133869 119.988842971122 -7.08175241934705 1.62942986117373 -4.34615357683811 1.38545583322428e-05 0.00313077032442889 .
evgLocus_388960 904.456794132747 -6.3681379884571 1.48312817629377 -4.29372059019916 1.75703572545217e-05 0.00377437303986021 RL24_PLUXY
evgLocus_686200 192.271857887342 -2.60672631069595 0.60865798581678 -4.2827439570975 1.8460255596664e-05 0.0039171761875848 .
evgLocus_238041 17.6042903432698 -7.88980949002357 1.86156391669228 -4.23826945681381 2.25249325564245e-05 0.00472209429496127 .
evgLocus_835244 19.4525638019963 -8.03377847785717 1.89706033056369 -4.23485660862985 2.2869759077378e-05 0.00473730723745687 .
evgLocus_410 606.807413741638 -2.2434676257503 0.532918704692483 -4.20977459788145 2.55625585269219e-05 0.00520904279616434 .
evgLocus_312812 9.50588841391102 -6.99805539084577 1.66833868619078 -4.19462513743179 2.73323226501123e-05 0.00546646453002245 PITH1_DROME
evgLocus_514856 63.7192943155774 -7.23810024556515 1.7272107526401 -4.19062944953386 2.78181649943189e-05 0.00550040989660396 STMN4_RAT
evgLocus_33290 101.834812460296 -10.419721263254 2.55139736176091 -4.08392727037334 4.42808951003771e-05 0.00811039552364802 SEM1A_SCHAM
evgLocus_2462 183.772322940922 -4.45329282755788 1.10850259051219 -4.01739505678575 5.88450270172973e-05 0.0103424592939492 PCE_TACTR
evgLocus_660333 23.6963857715273 -4.63830618417118 1.15665718889654 -4.01009584230929 6.06941065015033e-05 0.0105205522233271 .
evgLocus_122372 100.810354225598 -10.4050079209232 2.62926923715385 -3.95737635913866 7.57774878713551e-05 0.0128012455238988 .
evgLocus_26890 7.51769095683253 -6.66010115712499 1.69059941649539 -3.93949098298601 8.16546708306403e-05 0.0136614545428187 SARM1_DROME
evgLocus_160037 68.3661158789739 -9.84482063150293 2.51601726697884 -3.9128589301473 9.12098226114953e-05 0.0149721784286794 LENG8_HUMAN
evgLocus_758631 23.7672910827185 -3.79236776203244 0.970172575532019 -3.90896203178367 9.2693529368003e-05 0.0150735272056379 POLX_TOBAC
evgLocus_376826 10.3758284071989 -7.12858726529058 1.82565525801004 -3.90467325855415 9.43527757837606e-05 0.0152012805429392 RAE1L_DANRE
evgLocus_303721 11.0120210298729 -7.20976252290236 1.8562714197227 -3.88400233193236 0.000102750921069982 0.0164024406111714 .
evgLocus_34498 63.3905623185844 -9.73572440422883 2.5177082179633 -3.86689940270543 0.000110227870047257 0.0172789634128132 .
evgLocus_398750 151.410287991536 -2.30784756166885 0.599171998849542 -3.85172799479965 0.000117287260143938 0.018060162181456 CYBP_MOUSE
evgLocus_509860 10.8892884384168 -7.19053909798756 1.89734047077581 -3.78979904173308 0.000150769208040352 0.0222320696601876 STAG1_HUMAN
evgLocus_271537 8.83429845123365 -6.89470818015285 1.8393152939757 -3.74851892045647 0.000177881920347564 0.0250705745637182 CED6_DROME
evgLocus_574 192.586098952037 -1.97870066409983 0.528016998272875 -3.74741849329111 0.000178663864706958 0.0250705745637182 HYEP_BOMMO
evgLocus_642628 9.47823350539544 -6.99789563461058 1.88577405287043 -3.71088764529278 0.000206533762720674 0.0287494997707178 .
evgLocus_153020 12.6556549393879 -7.41175375870074 2.00166622067856 -3.70279204501346 0.000213239668768898 0.0293530567878775 TXND_THEPA
evgLocus_172879 33.8916168697402 -5.56260860571494 1.50591804065479 -3.69383223757399 0.000220899567165463 0.0300285349115551 .
evgLocus_448546 56.5474257310688 -9.57139136251283 2.59569918850587 -3.68740391987497 0.000226553591854314 0.0305583914594191 PPIA_DROME
evgLocus_41697 461.21124979436 -1.94231998980962 0.537127424712258 -3.61612515102934 0.000299045837888332 0.0396607997864813 SAE2_XENTR
evgLocus_262786 37.8764500853751 -8.99253466490281 2.49529358054572 -3.60379826045805 0.000313600501204271 0.0410274339921377 .
evgLocus_603408 180.400614793199 -4.34679339651659 1.20816203399337 -3.59785630918149 0.000320850784469514 0.0416627138042503 ENPL_BOVIN
evgLocus_340303 34.9367514028072 -8.8760211866502 2.48602810600399 -3.57036236445347 0.000356487730386901 0.0456094596230299 ELF1_DROME
