baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_120776 329.030754540708 -9.46174108651585 1.32102217468976 -7.16243925938481 7.92539884223193e-13 4.22767192240792e-09 PRS6B_MANSE
evgLocus_121049 19793.0992586636 -8.98545968074643 1.46398281448253 -6.13768112019985 8.37347277110757e-10 2.23334474593391e-06 LSD2_DROME
evgLocus_145026 731.37755655429 -7.7030242785639 1.25358766976387 -6.1447830609365 8.00728763968307e-10 2.23334474593391e-06 PSB7_RAT
evgLocus_823723 44.9973153249109 -8.71857462181784 1.54748642559171 -5.634023328175 1.76053190546357e-08 4.02482744044765e-05 DDX17_DROME
evgLocus_119571 146.993995042521 -10.4244770813871 1.89983026625179 -5.48705706323634 4.08685143766961e-08 8.17523544462835e-05 VCP_APIME
evgLocus_143542 86.9716407172109 -9.66857886840325 1.9676065813046 -4.91387808938543 8.92922848772212e-07 0.000984911519030873 VCP_APIME
evgLocus_152067 19.6470231019739 -7.51979313813219 1.53632397271224 -4.8946662759266 9.84726882740359e-07 0.000984911519030873 ICCR_DROME
evgLocus_252541 29.7526107467199 -8.11551772029759 1.66266938768573 -4.88101710442483 1.05540086607506e-06 0.000993504709399955 PP4RS_CAEEL
evgLocus_492906 19.6320251596654 -7.52221088421634 1.56449317971866 -4.80808160861975 1.5238556050041e-06 0.00135479229149336 .
evgLocus_281080 47.1162760898739 -3.23333112793822 0.706586639859428 -4.57598678710013 4.73980460962649e-06 0.00399216279830804 METL6_HUMAN
evgLocus_147079 1609.90275699649 -6.76556066232957 1.51632234987022 -4.46182215998374 8.12656572894197e-06 0.00635319154708351 RL28_SPOFR
evgLocus_131747 84.355255057651 -4.02703781113325 0.927157326435054 -4.34342446132344 1.40278725981533e-05 0.00863415558416333 VCP_APIME
evgLocus_720881 122.796150270099 -7.61813760174392 1.76749191295256 -4.31014000455481 1.63151221787059e-05 0.0096700333416974 .
evgLocus_95408 19.3292485883647 -7.50036760136753 1.74502167864242 -4.29815153196413 1.72228406962909e-05 0.00984346855938368 EIF3B_BOMMO
evgLocus_152776 58.1193939847289 -5.01517458263975 1.19581527700724 -4.193937541249 2.74153498279823e-05 0.0139020740746168 PP4RS_CAEEL
evgLocus_769000 19.0874175961223 -7.48525017475688 1.78910331130987 -4.1837998551781 2.86676525940357e-05 0.0139020740746168 ASGL1_DROPS
evgLocus_462821 638.337880555626 -12.5433327568192 3.02483498578646 -4.14678249086633 3.37180099451327e-05 0.0154168375186274 .
evgLocus_456264 94.5463298319645 -9.78866041951411 2.37741680444411 -4.11735140477519 3.8325147749403e-05 0.0165761443090188 .
evgLocus_35150 67.2652280620585 -9.29597139201711 2.2791838314796 -4.07864046051184 4.52998303185148e-05 0.0180796328256872 .
evgLocus_829064 56.1159774528908 -6.68705064043967 1.69313945050799 -3.94949786234877 7.83153102726628e-05 0.0272452154411614 CASP1_SPOFR
evgLocus_831445 300.399005887319 -11.4557623962651 2.93110560021499 -3.90834175180344 9.29317876507205e-05 0.0303507632198873 YMY9_YEAST
evgLocus_357402 164.8858908266 -3.00147431861366 0.789470833317887 -3.8018811993338 0.000143601584493346 0.0450599246401375 F210B_HUMAN
evgLocus_119107 18.0950663134605 -7.40282486631245 1.95017834711739 -3.79597326431952 0.000147065348181706 0.0452593609029201 FAS2_DROME
evgLocus_705500 40.1364115985203 -6.40583082504408 1.69150704587032 -3.78705536029745 0.000152443145135662 0.0457763900929188 PP4RS_CAEEL
evgLocus_342139 10.1712077385533 -6.57675739428052 1.74356820272422 -3.77201040028415 0.00016193750449647 0.0462765336510181 L2CC_DROME
evgLocus_771126 46.306935687398 -3.86293397299779 1.02409601180801 -3.77204278549809 0.000161916482410939 0.0462765336510181 .
evgLocus_57130 13.0634115013137 -6.93846009642633 1.85162057635176 -3.74723643982027 0.000178793539900571 0.0496561510618651 .
