baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_564378 1131.40281526096 26.5311635479771 2.87471400920108 9.22914886943846 2.72790838776345e-20 9.49312118941681e-17 ATP5H_DROME
evgLocus_83290 243.933332510525 11.1535682290136 1.59360161830338 6.99896893985854 2.57853011737444e-12 5.60830300528941e-09 ACADM_DROME
evgLocus_55034 96.8514478217122 5.26330592691661 0.871010266854417 6.04275991593602 1.51500009744152e-09 2.02776936119096e-06 MCTS1_DROME
evgLocus_271652 61.7329766371135 9.17066199562163 1.54715654356895 5.92742992539523 3.07712590148937e-09 3.56946604572767e-06 AP1M1_HUMAN
evgLocus_434123 6170.33060194806 8.85504165577457 1.57730976290832 5.61401562585096 1.97684351221686e-08 1.56350350511697e-05 DDX17_DROME
evgLocus_50108 314.298613034693 5.9850058124181 1.08911620444945 5.49528671776904 3.90076126973463e-08 2.51382392938454e-05 FAXC_DROME
evgLocus_223667 11906.5013525058 9.31867211957089 1.72286028049183 5.40883798012376 6.34349835281798e-08 3.8241591272128e-05 RSSA_BOMMO
evgLocus_611423 4259.05259264079 4.88894370278937 0.908046365422201 5.38402430641989 7.28386611703359e-08 4.22464234787948e-05 RL28_SPOFR
evgLocus_468860 1711.27714985342 11.1978566469985 2.08475031633988 5.37131787880388 7.81632835960195e-08 4.38722946635723e-05 DDX17_DROME
evgLocus_454687 1986.90353226227 9.49933799419718 1.77145072608886 5.36246244634224 8.20950396114956e-08 4.46391777887508e-05 DDX17_DROME
evgLocus_760791 35.6377398605353 4.91609366043588 0.921608925926613 5.33425135340687 9.59395516642396e-08 5.05863090593263e-05 GLT35_DROME
evgLocus_642896 32.8876369997796 8.26466716657423 1.56582927112883 5.27814067533437 1.3050126610296e-07 6.4877772291186e-05 NUCB1_MOUSE
evgLocus_757615 32.3037775251519 8.2387035083319 1.58267283152403 5.20556323722223 1.93409067577546e-07 8.41329443962327e-05 CECR2_MOUSE
evgLocus_880131 92.1893152091042 8.78849362707979 1.72854729428274 5.08432349878315 3.68938664129047e-07 0.000149291459438266 SPEN_DROME
evgLocus_84206 75.6534310971027 6.25292598431178 1.2317977430865 5.07626030280258 3.84935861055613e-07 0.000152224635962902 LDH_DROME
evgLocus_735190 803.899731185576 7.08413416033184 1.41894973097401 4.99251947105207 5.95967033728939e-07 0.00023044058637519 CYB5A_ARATH
evgLocus_559501 66.4202644379171 9.2750978537345 1.86234773537522 4.98032546637472 6.34774278353604e-07 0.000240110270507667 DLDH_MANSE
evgLocus_759534 22.5533346034128 7.71545297747452 1.5761988170059 4.89497447544756 9.83184886047149e-07 0.000363987596111072 S38AA_XENLA
evgLocus_737652 28.771378779832 8.06761179313628 1.66917757822618 4.83328550441569 1.34297967182904e-06 0.000463292496660692 TMEM9_HUMAN
evgLocus_881484 35.2810427934647 5.20956668225233 1.07834352659597 4.83108263161507 1.35792628331582e-06 0.000463292496660692 .
evgLocus_491713 66.3671929971273 5.46631376815055 1.14235183882904 4.78514025394643 1.70867973170971e-06 0.00056096277984432 PSB6_MOUSE
evgLocus_95998 65.397768752172 5.10123966875266 1.06926231963354 4.77080280029036 1.83493116959868e-06 0.000570139327696733 ALG11_MOUSE
evgLocus_616469 64.6791348165766 9.24216992489804 1.95823539363061 4.71964195671229 2.36260122725026e-06 0.000696767141595841 .
evgLocus_795833 15.9116278689399 7.2157303364315 1.56314628024425 4.6161580829812 3.90909222415098e-06 0.00107965404286075 .
evgLocus_109998 85.1948835927318 2.60663841358613 0.583826158080626 4.46475098367579 8.01619297283891e-06 0.00208181727951339 GRND_DROME
evgLocus_386440 59.9599986667906 3.10652823565499 0.702340010081068 4.42311158564983 9.72894602910657e-06 0.00238427691417541 .
evgLocus_83394 110.338640339787 3.16718763873389 0.716773498264085 4.41867290909099 9.9308811691014e-06 0.0023999629491995 DDX49_DROME
evgLocus_447404 574.337674792663 12.3897550874382 2.85515493966139 4.33943353312642 1.42850463711049e-05 0.00318666419047725 SEPIA_DROME
evgLocus_348528 22.6994562409987 6.75746088179536 1.56229129635896 4.32535270313812 1.52288000801867e-05 0.00335419141006644 NICA_DROME
evgLocus_733857 309.890444048781 11.4998708088951 2.66528751648032 4.31468302679832 1.59832067244599e-05 0.00347634746257003 TCPA_DROME
evgLocus_582139 132.052737275299 5.90055089405053 1.40216882363425 4.20816009783832 2.57458437051801e-05 0.00520904279616434 DLDH_MANSE
evgLocus_86584 12.6073741780686 6.87624328909613 1.65166146629354 4.16322801580338 3.13779740509304e-05 0.00613457020770999 .
evgLocus_446502 427.750400975629 4.35712526528416 1.05313708555109 4.1372821497442 3.51443853133505e-05 0.0067945811605811 EF2_BOMMO
evgLocus_475307 151.85371411343 5.93825879104402 1.44010806914277 4.12348136801899 3.73188660038916e-05 0.00713569525788696 SNO1_TYRJA
evgLocus_607314 16.9939822031901 6.33037345564648 1.54010015838857 4.11036478450211 3.95034551849034e-05 0.00747130565453608 S35B3_ANOGA
evgLocus_357321 10.208787686305 6.57511672697437 1.60433063808925 4.09835514629659 4.16096508117559e-05 0.0077850314421995 ZN330_DROME
evgLocus_171749 11.3984721891037 6.7424964103778 1.64962333025314 4.08729452761991 4.36432913882999e-05 0.00807865181017466 PEB3_DROME
evgLocus_366936 10.8978930242144 6.66358550829834 1.63381349893307 4.07854722258682 4.53179981881562e-05 0.00821388717160332 EIF3B_BOMMO
evgLocus_154161 5986.40373371457 4.82573533529051 1.1973950444847 4.03019484464899 5.57306369807474e-05 0.00999704209757737 RL15_CHITE
evgLocus_162335 3609.87878617457 7.27455376973601 1.81024765030578 4.0185406502294 5.85597074069732e-05 0.0103424592939492 RL10A_SPOFR
evgLocus_84674 22.8236077432291 5.90505657665758 1.47307964679138 4.00864718314437 6.10675732503468e-05 0.0105205522233271 WIPI4_MOUSE
evgLocus_827456 40.5667699344978 8.56223063404402 2.15715367977479 3.96922607523166 7.21064456194275e-05 0.0123005113115494 SERA_MANSE
evgLocus_421298 30.2744496559387 8.14845458015317 2.06982199378195 3.93679002572798 8.25788024897368e-05 0.0136844872697278 .
evgLocus_422752 16.3855798605646 7.2578336634823 1.87221745028354 3.87659759414332 0.000105927332808008 0.0167557780987213 .
evgLocus_563788 11.107959428634 6.68733222610953 1.73078556186766 3.86375549544875 0.000111656988659272 0.017346710738137 COPZ1_PONAB
evgLocus_765223 20.6301463837777 3.65965799438305 0.953022411089671 3.84005449588395 0.000123007002236226 0.0187747529728976 .
evgLocus_340447 27.8288584153736 4.16430228339565 1.08586157295425 3.83502132050406 0.000125553402982513 0.018996775755615 TT39B_XENTR
evgLocus_765629 37.2348935355432 8.43906937691927 2.2074256761981 3.82303670194418 0.000131818149576828 0.0197727224365242 SERA_MANSE
evgLocus_280275 15.7224059003935 7.18981008692484 1.88704465821471 3.81009005569955 0.000138916180669003 0.0206593294328262 CTNS_DROME
evgLocus_474831 758.687022342439 5.63407281498136 1.48805139925947 3.78620847222426 0.000152963360158335 0.0223660711492019 DDX17_DROME
evgLocus_485035 45.2759306266755 3.07994421155313 0.813963586842627 3.783884514417 0.000154399487479633 0.0223879256845469 .
evgLocus_476812 65.4780886332696 9.25821872988477 2.46642579614386 3.75369846697174 0.000174244452373044 0.0250566402586031 PSB6_MOUSE
evgLocus_85801 41.1409534089779 3.14104034357509 0.837379304769887 3.75103650840554 0.000176105052457791 0.0250705745637182 LOLA2_DROME
evgLocus_206786 98.4594420672644 9.84538130306342 2.65976317789045 3.70160072329151 0.000214243575405772 0.0293530567878775 LFG1_HUMAN
evgLocus_82527 143.625080150383 8.6062806122676 2.3537016499482 3.65648747897042 0.000255694894696217 0.034223778213186 TCPA_DROME
evgLocus_82331 317.21432194259 3.48802567073077 0.964997042849283 3.61454545024501 0.000300875032862962 0.0396607997864813 SPEN_DROME
evgLocus_821913 7.15697889610127 6.07015962011133 1.6944797624243 3.58231461639102 0.00034056328598522 0.0438948235269839 PSME4_XENLA
